Category,Collection,Price USD,Finish,SkuID,Image URL,Model3D URL,Spec Mode,,,
Showers,Statement,179,Polished Chrome,K-26297-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/26297-CP_ISO_d2c0017542_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Showers,Statement,199,Vibrant Brushed Nickle,K-26297-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/26297-BN_ISO_d2c0017498_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Showers,Statement,199,Matte Black,K-26297-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/26297-BL_ISO_d2c0017510_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Showers,Purist,219,Polished Chrome,K-22170-G-CP,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/22170-G-CP_ISO_d2c0018062_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Showers,Purist,239,Vibrant Brushed Nickle,K-22170-BN,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/22170-G-BN_ISO_d2c0018038_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Showers,Purist,239,Matte Black,K-22170-BL,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/22170-G-BL_ISO_d2c0018023_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Toilets,Veil,3699,White,K-5401-PA-0,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/5401-PA-0_ISO_d2c0020473_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Toilets,Veil,3899,Honed Black,K-5401-PA-HB1,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/5401-PA-HB1_ISO_d2c0020480_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Toilets,Leap,349,White,K-28529-0,https://kohler.scene7.com/is/image/PAWEB/GBH_SQTemplate?$product_src=is{PAWEB/28529-0_ISO_d2c0020442_rgb}&$PDPDesktopSQ$&fmt=webp,,,,,
Faucets,Purist,29,Silver,36786-4,https://kohler.scene7.com/is/image/PAWEB/zac62376_rgb,,"Purist (SKU: 36786-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,39,Polished Silver,K-13132-3A,https://kohler.scene7.com/is/image/PAWEB/zaa78433_rgb,,"Purist (SKU: K-13132-3A) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,49,Polished Silver,K-13132-4A,https://kohler.scene7.com/is/image/PAWEB/zaa75589_rgb,,"Purist (SKU: K-13132-4A) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,59,Polished Silver,K-14406-3,https://kohler.scene7.com/is/image/PAWEB/aag09054_rgb,,"Purist (SKU: K-14406-3) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,69,Polished Silver,K-14406-4,https://kohler.scene7.com/is/image/PAWEB/aag09166_rgb,,"Purist (SKU: K-14406-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,79,Polished Chrome,K-14406-4-CP,http://s7d4.scene7.com/is/image/PAWEB/PuristFaucetAcc?$BundleComponentType04_pos=35%2C538&$BundleComponentType04_size=792%2C594&$BundleComponentType04_src=PAWEB%2F14441-CP_ISO_d2c0111521_rgb&$BundleComponentType05_pos=439%2C436&$BundleComponentType05_size=798%2C599&$BundleComponentType02_pos=%2D382%2C497&$BundleComponentType02_size=900%2C675&$BundleComponentType02_src=PAWEB%2F14377-CP_ISO_d2c0104071_rgb&$BundleComponentType05_src=PAWEB%2F14443-CP_ISO_d2c0086079_rgb&$Component_Type_03_pos=399%2C215&$Component_Type_03_size=979%2C734&$Component_Type_03_src=PAWEB%2F14436-CP_ISO_d2c0086281_rgb&$gradient_size=2000%2C1500&$gradient_src=PAWEB%2Forganic%2Dgradient16d8&$BundleComponentType01_pos=2%2C%2D191&$BundleComponentType01_src=PAWEB%2Faag09166_rgb&$BundleComponentType01_size=1500%2C1125,,"Purist (SKU: K-14406-4-CP) by Kohler. suitable for faucets applications. Finish: Polished Chrome. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,89,Polished Chrome,K-14408-3,https://kohler.scene7.com/is/image/PAWEB/aag09200_rgb,,"Purist (SKU: K-14408-3) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,99,Polished Chrome,K-14408-4,https://kohler.scene7.com/is/image/PAWEB/aaf91469_rgb,,"Purist (SKU: K-14408-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,119,Polished Chrome,K-14410-3,https://kohler.scene7.com/is/image/PAWEB/aag09442_rgb,,"Purist (SKU: K-14410-3) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,129,Polished Chrome,K-14410-4,https://kohler.scene7.com/is/image/PAWEB/aag09535_rgb,,"Purist (SKU: K-14410-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,139,Silver,K-23484-4K,https://kohler.scene7.com/is/image/PAWEB/aag21130_rgb,,"Purist (SKU: K-23484-4K) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,149,matte black,K-24857-4,https://kohler.scene7.com/is/image/PAWEB/23255-4-BL_ISO_d2c0003943_rgb,,"Purist (SKU: K-24857-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,159,Silver,K-27010-3,https://kohler.scene7.com/is/image/PAWEB/aag18732_rgb,,"Purist (SKU: K-27010-3) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,169,Polished Silver,K-27010-4,https://kohler.scene7.com/is/image/PAWEB/aag18362_rgb,,"Purist (SKU: K-27010-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,179,Silver,K-27010-9,https://kohler.scene7.com/is/image/PAWEB/aag26283_rgb,,"Purist (SKU: K-27010-9) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,189,Polished Silver,K-27380-4K,https://kohler.scene7.com/is/image/PAWEB/27380-4-CP_ISO_d2c0003387_rgb,,"Purist (SKU: K-27380-4K) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,199,polished chrome,K-27390-4K,https://kohler.scene7.com/is/image/PAWEB/27390-4-CP_ISO_d2c0001980_rgb,,"Purist (SKU: K-27390-4K) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,219,polished chrome,K-27399-4N,https://kohler.scene7.com/is/image/PAWEB/27399-4-CP_ISO_d2c0003577_rgb,,"Purist (SKU: K-27399-4N) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,239,polished chrome,K-27416-4,https://kohler.scene7.com/is/image/PAWEB/27416-4-CP_ISO_d2c0002045_rgb,,"Purist (SKU: K-27416-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,249,Polished Silver,K-28125-4K,https://kohler.scene7.com/is/image/PAWEB/28125-4-CP_ISO_d2c0005310_rgb,,"Purist (SKU: K-28125-4K) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,269,polished chrome,K-33592-4K,https://kohler.scene7.com/is/image/PAWEB/33592-4-CP_ISO_d2c0022749_rgb,,"Purist (SKU: K-33592-4K) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,279,Polished Silver,K-35908-4K,https://kohler.scene7.com/is/image/PAWEB/aag26490_rgb,,"Purist (SKU: K-35908-4K) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,299,Polished Silver,K-35953-4K,https://kohler.scene7.com/is/image/PAWEB/35953-4-CP_ISO_d2c0042107_rgb,,"Purist (SKU: K-35953-4K) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,319,Polished Silver,K-36787-4,https://kohler.scene7.com/is/image/PAWEB/zac62376_rgb,,"Purist (SKU: K-36787-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,339,Polished Silver,K-37887-4,https://kohler.scene7.com/is/image/PAWEB/zac76856_rgb,,"Purist (SKU: K-37887-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,349,Polished Silver,K-37893-4,https://kohler.scene7.com/is/image/PAWEB/zac51568_rgb,,"Purist (SKU: K-37893-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,369,Silver,K-394-4,https://kohler.scene7.com/is/image/PAWEB/394-4-CP_ISO_d2c0042142_rgb,,"Purist (SKU: K-394-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,389,Polished Silver,K-454-4V,https://kohler.scene7.com/is/image/PAWEB/zaa54547_rgb,,"Purist (SKU: K-454-4V) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,399,Polished Silver,K-72759-CP,https://kohler.scene7.com/is/image/PAWEB/aag34852_rgb,,"Purist (SKU: K-72759-CP) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,419,Polished Chrome,K-73060-3,https://kohler.scene7.com/is/image/PAWEB/aag28623_rgb,,"Purist (SKU: K-73060-3) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,429,Polished Chrome,K-73060-4,https://kohler.scene7.com/is/image/PAWEB/aag28718_rgb,,"Purist (SKU: K-73060-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,449,Polished Chrome,K-77974-4,https://kohler.scene7.com/is/image/PAWEB/aag33395_rgb,,"Purist (SKU: K-77974-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,299,Polished Chrome,K-77974-8,https://kohler.scene7.com/is/image/PAWEB/aag33483_rgb,,"Purist (SKU: K-77974-8) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,189,Polished Chrome,K-77974-9,https://kohler.scene7.com/is/image/PAWEB/aag33545_rgb,,"Purist (SKU: K-77974-9) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,159,Polished Chrome,K-97093-4,https://kohler.scene7.com/is/image/PAWEB/97093-4-CP_ISO_d2c0002270_rgb,,"Purist (SKU: K-97093-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,89,Polished Chrome,K-97352-4,https://kohler.scene7.com/is/image/PAWEB/aag08649_rgb,,"Purist (SKU: K-97352-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,68,Polished Chrome,K-98068-3,https://kohler.scene7.com/is/image/PAWEB/98068-3-CP_ISO_d2c0000080_rgb,,"Purist (SKU: K-98068-3) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,49,Polished Chrome,K-98068-4,https://kohler.scene7.com/is/image/PAWEB/aag34930_rgb,,"Purist (SKU: K-98068-4) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Faucets,Purist,39,Polished Chrome,K-98068-6,https://kohler.scene7.com/is/image/PAWEB/98068-6-CP_ISO_d2c0027518_rgb,,"Purist (SKU: K-98068-6) by Kohler. suitable for faucets applications. Engineered for durability, elegant design, and reliable daily performance.",,,
Sinks,IronRidge,1762.42,White,K-24268-0,/static/img/sink1.png,,34inch undermount single-bowl farmhouse kitchen sink,,,
Sinks,Whitehaven®,1266.86,White,K-6489-0,/static/img/sink2.png,,undermount single-bowl farmhouse kitchen sink,,,
Sinks,Iron/Tones®,1312.2,Biscuit,K-6625-96,/static/img/sink3.png,,Smart Divide® 33inch top/undermount double-bowl kitchen sink,,,
Sinks,Iron/Tones®,2668.8,Black,K-24564-7,/static/img/sink4.png,,35-3/4inch undermount single-bowl farmhouse workstation kitchen sink,,,
Sinks,Riverby®,868.35,White,K-5479-5U-0,/static/img/sink5.png,,25inch undermount single-bowl kitchen sink,,,
Bathtub,Evok®,3119.7,White,K-25165-0,/static/img/bath1.png,,66inch x 30inch freestanding bath,,,
Bathtub,KOHLER x Remedy Place Ice Bath,17425,BurntUmber,K-35848-BUM,/static/img/bath2.png,,Temperature variability from 39°F — 104°F (3.9°C – 40°C) with automatic temperature sensor. Integrated timer with guided breathwork light to encourage mindful breathing and track session progress,,,
Bathtub,Artifacts™,7966.65,Aspen Exterior with White Interior,K-21000-PAG-0,/static/img/bath3.png,,"66-1/8"" x 32-1/2"" freestanding bath",,,
Bathtub,Stillness™ Infinity Experience,17248.5,Honed White,K-31405-INF-HW1,/static/img/bath4.png,,PerfectFill™ technology conveniently fills the bathtub; no bath faucet or filler necessary. Integrated drain and overflow. Water overflows onto the Japanese Hinoki wood moat grate, creating a unique infinity pool effect, while maintaining temperatures up to 104°F (40°C),
Toilet,Cimarron® with ContinuousClean & Revolution 360®,435.9,White,K-31624-0,/static/img/toilet1.png,,The KOHLER® Cimarron Comfort Height® two-piece toilet with ContinuousClean ST combines the powerful Revolution 360® flushing technology with automatic cleaning. The ContinuousClean ST system harnesses the power of off-the-shelf two-piece elongated toilet-cleaning tablets with every flush to keep your bowl clean longer. Paired with KOHLER® Revolution 360® flushing technology, ContinuousClean ST raises toilet cleanliness to a new level.,,,
Toilet,Cimarron® with ContinuousClean & Revolution 360®,424.27,White,K-31644-0,/static/img/toilet2.png,,The KOHLER® Cimarron Comfort Height® two-piece elongated toilet with ContinuousClean ST combines the powerful Revolution 360® flushing technology with automatic cleaning. The ContinuousClean ST system harnesses the power of off-the-shelf two-piece floor-mount toilet-cleaning tablets with every flush to keep your bowl clean longer. Paired with KOHLER® Revolution 360® flushing technology, ContinuousClean ST raises toilet cleanliness to a new level.,,,
Toilet,Cimarron® with ContinuousClean,398.4,White,K-31621-0,/static/img/toilet3.png,,The KOHLER® Cimarron Comfort Height® elongated two-piece toilet has become an enduring symbol of power and timeless beauty. Trusted for years by professionals and homeowners, Cimarron features Kohler’s most complete flush ever, Revolution 360® flushing technology powered by the AquaPiston® flush valve. Revolution 360® flushing technology keeps your bowl cleaner longer than a conventional flush. Installation saves you time and money, too, with Kohler’s patent-pending two-bolt tank-to-bowl omnidirectional leveling system.
Toilet,Cimarron® with ContinuousClean,398.4,White,K-31621-DRY-0,/static/img/toilet4.png,,The KOHLER® Cimarron Comfort Height® two-piece elongated toilet has become an enduring symbol of power and timeless beauty. Trusted for years by professionals and homeowners, Cimarron features Kohler’s most complete flush ever, Revolution 360® flushing technology powered by the AquaPiston flush valve. Revolution 360® flushing technology keeps your bowl cleaner longer than a conventional flush. Installation saves you time and money, too, with Kohler’s patent-pending two-bolt tank-to-bowl omnidirectional leveling system.
Toilet,Cimarron® with ContinuousClean,398.4,White,K-31640-0,/static/img/toilet5.png,,The KOHLER® Cimarron Comfort Height® elongated two-piece toilet has become an enduring symbol of power and timeless beauty. Trusted for years by professionals and homeowners, Cimarron features Kohler’s most complete flush ever, Revolution 360® flushing technology powered by the AquaPiston® flush valve. Installation saves you time and money, too, with Kohler’s patent-pending two-bolt tank-to-bowl omnidirectional leveling system.
Toilet,Cimarron®,469.5,White,K-5310-0,/static/img/toilet6.png,,This WaterSense®-labeled high-efficiency toilet delivers water conservation and easy installation in a sleek, skirted design. The KOHLER® Cimarron two-piece skirted toilet utilizes Kohler's patented new ReadyLock® installation system for easier, more intuitive installation. The skirted trapway installs to the floor flange and attaches to the two-piece elongated toilet," eliminating the need to drill holes for a standard 12"" rough-in while offering the same secure installation as non-skirted toilets.",
Toilet,Cimarron® with Revolution 360®,416.51,White,K-31640-DRY-0,/static/img/toilet7.png,,The KOHLER® Cimarron toilet has become an enduring symbol of power and timeless beauty, classically designed to complement most bathroom decor styles. Trusted for years by professionals and homeowners, Cimarron features Kohler’s most complete flush ever, Revolution 360® flushing technology powered by the AquaPiston flush valve. This two-piece elongated two-piece elongated toilet offers extra room and comfort and is complete with a Quiet-Close™ toilet seat.,
Toilet,Cimarron®,398.4,White,K-31620-DRY-0,/static/img/toilet8.png,,The KOHLER® Cimarron Comfort Height® two-piece round-front toilet has become an enduring symbol of power and timeless beauty. Trusted for years by professionals and homeowners, Cimarron features Kohler’s most complete flush ever, Revolution 360® flushing technology powered by the AquaPiston flush valve. Installation saves you time and money, too, with Kohler’s patent-pending two-bolt tank-to-bowl omnidirectional leveling system.
Toilet,Veil,5999.96,White,K-5401-PA-0,/static/img/toilet9.png,,Sculpted with flowing and balanced curves, the KOHLER® Veil® one-piece elongated smart toilet pairs bold minimalist style with the comfort of personal cleansing. Pump-assisted flushing delivers peak flush performance every time. A full suite of convenient features includes heated seat, nightlight, hands-free opening/closing and automatic flush, plus a touchscreen remote. With emergency backup flushing at the touch of a button, you're always covered in the event of a power outage.
Toilet,Leap,1999.98,white,K-28529-0,/static/img/toilet10.png,,With the KOHLER® Leap™ one-piece elongated smart toilet, you don't have to sacrifice comfort for function. With its sleek one-piece design, water-conserving dual flush, and integrated bidet technology for a cleaner clean, Leap is everything you could ask for. Add to that integrated touchless technology for a hygienic, hands-free flush, Comfort Height® seating, and easy installation, and you'll be glad you invested in this modern masterpiece for your bathroom.
Toilet,Highline with Revolution 360,333.52,White,K-43979-0,/static/img/toilet11.png,,Enhance your bathroom space with this redesigned KOHLER® Highline two-piece elongated toilet. With our most powerful flush built into one of our most popular toilet designs, the upgraded Highline toilet combines trusted performance with top-of-the-line features to enhance luxury and efficiency. At the heart of this toilet’s clean and simple aesthetic is Revolution 360® technology, an advanced flushing system that uses a powerful swirling motion to thoroughly rinse the bowl. Weighing less than previous Highline models, this toilet is easier to handle and install.
Toilet,Corbelle Tall with ContinuousClean & Revolution 360,672.37,White,K-33814-0,/static/img/toilet12.png,,The KOHLER® Corbelle Tall two-piece elongated toilet is 2-1/2" taller than Comfort Height® toilets to provide ultimate accessibility and ease of use. Corbelle Tall delivers a powerful swirling flush with Revolution 360® flushing technology to keep your bowl clean longer than a conventional flush, and the ContinuousClean XT system works with white cleaner tablets to add even more cleaning power. The two-piece elongated toilet features a skirted trapway with graceful, clean lines and is easy to install with the ReadyLock® system because it installs to the floor flange, eliminating the need to drill holes while offering the same secure installation as nonskirted toilets.
Toilet,Kelston Tall with ContinuousClean & Revolution 360,499.50,White,K-30688-0,/static/img/toilet13.png,,This KOHLER® Kelston ContinuousClean tall toilet has an elongated bowl and offers an additional 2-1/2" in height over Comfort Height®toilets to provide ultimate accessibility and ease of use. With a water-saving 1.28-gallon flush, this two-piece elongated toilet features Revolution 360® flushing technology to keep your bowl clean longer than a conventional flush, plus a ContinuousClean system that automatically dispenses cleaning solution with every flush. Elevate your experience with KOHLER®.
Toilet,Highline Tall,408.52,White,K-35716-0,/static/img/toilet14.png,,With its clean, simple design and efficient performance, this KOHLER® Highline tall two-piece toilet combines both style and function. An innovative 1.28-gallon flush setting provides significant water savings of up to 16,500 gallons per year, compared to an old 3.5-gallon two-piece round-front toilet, without sacrificing flushing power. The round-front bowl perfectly complements smaller bathroom spaces, while the tall height offers additional comfort.
Toilet,Kelston tall with Revolution 360,521.40,White,K-43201-0,/static/img/toilet15.png,,This KOHLER® Kelston tall elongated toilet offers an additional 2-1/2" in height over Comfort Height®toilets to provide ultimate accessibility and ease of use. With a water-saving 1.28-gallon flush, the Kelston tall two-piece elongated toilet also features Revolution 360® flushing technology to keep your bowl clean longer than a conventional flush. Elevate your experience with KOHLER®.
Toilet,Eir,7299.97,White,K-77795-0,/static/img/toilet16.png,,One-piece chair height elongated smart toilets with 12” rough-in & skirted trapway, dual-flush
Toilet,Numi 2.0,12999.97,White,K-30754-PA-0,/static/img/toilet17.png,,The KOHLER® Numi 2.0 smart toilet combines unmatched design and technology to bring you the finest in personal comfort and cleansing. Kohler's most advanced one-piece elongated toilet now offers personalized settings that let you fine-tune every option to your exact preferences, from ambient colored lighting and built-in audio speaker system to the heated seat with hands-free opening and closing. Other upgrades include power-save mode for energy efficiency, emergency flush for power outages, and an intuitive remote that complements the KOHLER® Konnect® app for advanced control. From its striking form to its exceptional water efficiency, the Numi 2.0 smart toilet marks a new standard of excellence in the bathroom.
Toilet,Innate,3799.99,White,K-29777-PA-0,/static/img/toilet18.png,,One-piece chair height elongated smart toilets with 12” rough-in & skirted trapway, dual-flush
Toilet,Leap Lite,1499.96,White,K-32847-0,/static/img/toilet19.png,,One-piece chair height elongated smart toilets with 12” rough-in & skirted trapway, dual-flush
Toilet,Memoirs Stately,492.56,White,K-3817-0,/static/img/toilet20.png,,Two-piece chair height elongated toilets with 12” rough-in & exposed trapway, 1.28 gpf
Bathtub,Archer,3056.06,White,K-1124-LA-0,/static/img/bath5.png,,Taking its design cues from traditional Craftsman furniture, the KOHLER® Archer line of baths reveals beveled edges and curved bases for a clean, sophisticated style. This 72" x 36" rectangular alcove bath offers a low step-over height while allowing for deep, comfortable soaking. Whirlpool jets relax away the day's tension.
Bathtub,Archer,4186.27,White,K-1122-GHLAW-0,/static/img/bath6.png,,With Heated BubbleMassage™ hydrotherapy, airjets release thousands of heated bubbles that deliver a blissfully warm, invigorating full-body massage experience. This air bath's heated surface warms the back, shoulders and neck with adjustable temperature settings to create a soothing, spa-like environment. Taking its design cues from traditional Craftsman furniture, the KOHLER® Archer line of baths reveals beveled edges and curved bases for a clean, sophisticated style. This air 60" x 32" rectangular alcove bath offers a low step-over height while allowing for deep, comfortable soaking.
Bathtub,Archer,4030.24,White,K-1947-GHLW-0,/static/img/bath7.png,,With Heated BubbleMassage™ hydrotherapy, airjets release thousands of heated bubbles that deliver a blissfully warm, invigorating full-body massage experience. This air bath's heated surface warms the back, shoulders and neck with adjustable temperature settings to create a soothing, spa-like environment. Taking its design cues from traditional Craftsman furniture, the KOHLER® Archer line of baths reveals beveled edges and curved bases for a clean, sophisticated style. This 60" x 30" rectangular alcove air bath offers a low step-over height while allowing for deep, comfortable soaking.
Bathtub,Archer,849,White,K-1123-0,/static/img/bath8.png,,Taking its design cues from traditional Craftsman furniture, the KOHLER® Archer line of baths reveals beveled edges and curved bases for a clean, sophisticated style. This 60" x 32" rectangular drop-in bath offers a low step-over height while allowing for deep, comfortable soaking. A lumbar arch gently support the natural curves of your body.
Bathtub,Archer,3367.80,White,K-1947-W1-0,/static/img/bath9.png,,Taking its design cues from traditional Craftsman furniture, the KOHLER® Archer line of baths reveals beveled edges and curved bases for a clean, sophisticated style. This 60" x 30" rectangular drop-in bath offers a low step-over height while allowing deep, comfortable soaking. Whirlpool jets relax away the day's tension as armrests and a lumbar arch gently support the natural curves of your body. In addition, the Bask heated surface warms your back and neck with adjustable temperature settings to create a soothing environment.
Bathtub,Archer,1137.71,White,K-1980-0,/static/img/bath10.png,,Taking its design cues from traditional Craftsman furniture, the KOHLER® Archer line of baths reveals beveled edges and curved bases for a clean, sophisticated style. This 66" x 32" rectangular drop-in bath offers a low step-over height while allowing deep, comfortable soaking and a lumbar arch gently support the natural curves of your body. At Kohler, we make it our business to help you create the bathroom space of your dreams.
Bathtub,Abrazo,7716.45,White,K-1800-0,/static/img/bath11.png,,With an organic oval shape inspired by clay pottery, the KOHLER® Abrazo 66" x 31-1/2" oval freestanding bath makes a striking focal point for your contemporary bathroom. An integral slotted overflow allows for the deepest possible water level. KOHLER® Lithocast® cast resin material has the attractive finish of smooth stone but feels warm to the touch and is easy to clean.
